loss,accuracy,val_loss,val_accuracy
0.7048538327217102,0.7458222508430481,0.32516592741012573,0.8587163090705872
0.4834320545196533,0.8590011596679688,0.2873621881008148,0.8807443976402283
0.43884503841400146,0.8775161504745483,0.3283481299877167,0.8606152534484863
0.39753037691116333,0.8904291391372681,0.26013919711112976,0.9020128846168518
0.3729424774646759,0.9001139402389526,0.3361915946006775,0.8560577034950256
0.35669660568237305,0.9034371376037598,0.2766256630420685,0.8841625452041626
0.34322473406791687,0.9074249863624573,0.28259727358818054,0.8864413499832153
0.33059582114219666,0.9085643887519836,0.25100040435791016,0.9016331434249878
0.31542494893074036,0.9161602854728699,0.2682195007801056,0.8883402943611145
0.2964533567428589,0.920907735824585,0.25227096676826477,0.9016331434249878
0.2881736755371094,0.9224268794059753,0.2770139276981354,0.8917584419250488
0.26886847615242004,0.9245157837867737,0.2461743950843811,0.8985947370529175
0.26483961939811707,0.9268894791603088,0.2666254937648773,0.8963159918785095
0.24491934478282928,0.9347702264785767,0.2533991038799286,0.9027724862098694
0.2242780476808548,0.9383782744407654,0.3263644874095917,0.8742879033088684
